id,period,minute,seconds,type,match.id,match.homeTeamDisplayName,match.awayTeamDisplayName,swimoff.homeTeamSwimmer.playerId_x,swimoff.awayTeamSwimmer.playerId_x,swimoff.winnerSwimmer.playerId_x,exclusion.excludedPlayer.playerId_x,exclusion.fouledPlayer.playerId_x,exclusion.locationX,exclusion.locationY,shot.type,shot.takenBy.playerId_x,shot.blockedBy.playerId_x,shot.isGoal,shot.isFastBreak,shot.isDirectFromFoul,shot.locationX,shot.locationY,shot.targetX,shot.targetY,shot.assistedBy.playerId_x,turnover.type,turnover.lostPossesionPlayer.playerId,shot.savedBy.playerId_x,turnover.wonPossesionPlayer.playerId_x,timeout.team.name,shot.savedBy.playerId_y,shot_saved_playerId,shot_saved_by,turnover.wonPossesionPlayer.playerId_y,turnover_playerId,turnover_won_by,shot.assistedBy.playerId_y,shot_assisted_playerId,shot_assisted_by,shot.blockedBy.playerId_y,shot_blocked_playerId,shot_blocked_by,shot.takenBy.playerId_y,shot_playerId,shot_taken_by,exclusion.excludedPlayer.playerId_y,exclusion_playerId,exclusion_committed_by,swimoff.homeTeamSwimmer.playerId_y,swimoff_hometeam_playerId,swimoff_hometeam,swimoff.awayTeamSwimmer.playerId_y,swimoff_awayteam_playerId,swimoff_awayteam,swimoff.winnerSwimmer.playerId_y,swim_off_won_by_playerId,swim_off_won_by,turnover.lostPossesionPlayer.playerId_x,turned_over_by_playerId_x,turned_over_by_x,turnover.lostPossesionPlayer.playerId_y,turned_over_by_playerId_y,turned_over_by_y,exclusion.fouledPlayer.playerId_y,exclusion_drawn_by_playerId,exclusion_drawn_by
374872,Third_Period,2,20,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,81.0,,False,False,False,0.549,0.342,0.914,0.265,,,,,,,,,,,,,,,,,,,81.0,81.0,Marko Zuvela,,,,,,,,,,,,,,,,,,,,,
374873,Third_Period,2,3,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Offensive_Foul,1354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.0,1354.0,Francesco Di Fulvio,1354.0,1354.0,Francesco Di Fulvio,,,
374874,Third_Period,1,40,Exclusion,10044,Croatia,Italy,,,,1357.0,71.0,0.493,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.0,1357.0,Andrea Fondelli,,,,,,,,,,,,,,,,71.0,71.0,Luka Loncar
374875,Third_Period,1,23,Shot,10044,Croatia,Italy,,,,,,,,Power_Play,81.0,,False,False,False,0.422,0.127,0.282,0.302,,,,,,,,,,,,,,,,,,,81.0,81.0,Marko Zuvela,,,,,,,,,,,,,,,,,,,,,
374876,Third_Period,0,59,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,134.0,,False,False,False,0.124,0.157,0.541,0.637,,,,484.0,,,484.0,484.0,Marko Bijac,,,,,,,,,,134.0,134.0,Nicholas Presciutti,,,,,,,,,,,,,,,,,,,,,
374877,Third_Period,0,43,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Lost_Ball,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,532.0,Lorenzo Bruni,532.0,532.0,Lorenzo Bruni,,,
374878,Third_Period,0,29,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,77.0,,True,False,False,0.388,0.191,0.412,0.425,,,,,,,,,,,,,,,,,,,77.0,77.0,Loren Fatovic,,,,,,,,,,,,,,,,,,,,,
374880,Third_Period,0,10,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,1354.0,1064.0,False,False,True,0.409,0.287,,,,,,,,,,,,,,,,,,1064.0,1064.0,Ante Vukicevic,1354.0,1354.0,Francesco Di Fulvio,,,,,,,,,,,,,,,,,,,,,
374881,Third_Period,0,8,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,1360.0,,True,False,False,0.768,0.117,0.3,0.595,1354.0,,,,,,,,,,,,1354.0,1354.0,Francesco Di Fulvio,,,,1360.0,1360.0,Gonzalo Echenique,,,,,,,,,,,,,,,,,,,,,
374882,Third_Period,0,8,Card,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
